station_id,waiting_time,discipline,seed,arrival_rate,is_hot_station
0,11.239405520863398,exhaustive,1,0.03636363636363636,True
1,11.8232075170802,exhaustive,1,0.01818181818181818,False
2,11.729387176444762,exhaustive,1,0.01818181818181818,False
3,11.941521047557783,exhaustive,1,0.01818181818181818,False
4,12.055890087851152,exhaustive,1,0.01818181818181818,False
5,11.569725699985034,exhaustive,1,0.01818181818181818,False
6,11.86724592578932,exhaustive,1,0.01818181818181818,False
7,11.271097100753483,exhaustive,1,0.01818181818181818,False
8,11.438083264312798,exhaustive,1,0.01818181818181818,False
9,11.717573404641957,exhaustive,1,0.01818181818181818,False
0,11.17489631223718,exhaustive,2,0.03636363636363636,True
1,12.06708583070487,exhaustive,2,0.01818181818181818,False
2,11.796297931934127,exhaustive,2,0.01818181818181818,False
3,11.88437909030005,exhaustive,2,0.01818181818181818,False
4,12.112966720408433,exhaustive,2,0.01818181818181818,False
5,11.983021024455388,exhaustive,2,0.01818181818181818,False
6,11.94535375152936,exhaustive,2,0.01818181818181818,False
7,11.404356442558512,exhaustive,2,0.01818181818181818,False
8,11.929908136086809,exhaustive,2,0.01818181818181818,False
9,12.090469180715967,exhaustive,2,0.01818181818181818,False
0,10.93640083196539,exhaustive,3,0.03636363636363636,True
1,11.701852921701764,exhaustive,3,0.01818181818181818,False
2,11.717914999374196,exhaustive,3,0.01818181818181818,False
3,11.395140009361434,exhaustive,3,0.01818181818181818,False
4,11.63693864753759,exhaustive,3,0.01818181818181818,False
5,11.743264075288222,exhaustive,3,0.01818181818181818,False
6,12.045834483083942,exhaustive,3,0.01818181818181818,False
7,11.571575119617844,exhaustive,3,0.01818181818181818,False
8,11.504999955494448,exhaustive,3,0.01818181818181818,False
9,11.638872696415257,exhaustive,3,0.01818181818181818,False
0,57.333552072701366,limited,1,0.03636363636363636,True
1,20.011987205799855,limited,1,0.01818181818181818,False
2,18.589057958280353,limited,1,0.01818181818181818,False
3,20.157165867792912,limited,1,0.01818181818181818,False
4,19.02051325743321,limited,1,0.01818181818181818,False
5,19.09305482981412,limited,1,0.01818181818181818,False
6,18.87762654856723,limited,1,0.01818181818181818,False
7,19.246727955848463,limited,1,0.01818181818181818,False
8,19.246193632147975,limited,1,0.01818181818181818,False
9,18.246985169287875,limited,1,0.01818181818181818,False
0,57.44357752562337,limited,2,0.03636363636363636,True
1,20.09414714142334,limited,2,0.01818181818181818,False
2,20.758377181982024,limited,2,0.01818181818181818,False
3,19.769327543844714,limited,2,0.01818181818181818,False
4,21.79941780508099,limited,2,0.01818181818181818,False
5,20.56989523558764,limited,2,0.01818181818181818,False
6,19.213120248925488,limited,2,0.01818181818181818,False
7,18.2576839381169,limited,2,0.01818181818181818,False
8,19.0294000919933,limited,2,0.01818181818181818,False
9,19.273375163562523,limited,2,0.01818181818181818,False
0,51.2285714239397,limited,3,0.03636363636363636,True
1,19.16745911257108,limited,3,0.01818181818181818,False
2,18.954552930393056,limited,3,0.01818181818181818,False
3,19.467355431623513,limited,3,0.01818181818181818,False
4,19.296584814333443,limited,3,0.01818181818181818,False
5,19.473530010271165,limited,3,0.01818181818181818,False
6,18.374298405155123,limited,3,0.01818181818181818,False
7,19.88542518313615,limited,3,0.01818181818181818,False
8,20.838333288814507,limited,3,0.01818181818181818,False
9,19.32709235981846,limited,3,0.01818181818181818,False
